"behav","result"
"Lunge---Lunge",0.5
"Bite/Fighting, Chase---Flee, Subordinate posture",1
"Chase, Mount---Flee",1
"Sniff*---N/A",0
"Bite/Fighting---Bite/Fighting",0.5
"Chase---Flee",1
"Bite/Fighting---Subordinate posture",1
"Bite/Fighting, Subordinate posture---Bite/Fighting, Subordinate posture",0.5
"Mount, Flee---Chase",-1
"Sniff*---Sniff",0
"Bite/Fighting---NA",1
"Bite/Fighting---Subordinate posture, Freeze/immobility",1
"Lunge, Bite/Fighting---Flee",1
"Chase---NA",1
"Bite/Fighting---Freeze/immobility",1
"Sniff*---Subordinate posture",1
"Bite/Fighting, Chase---Flee",1
"Allogroom*---N/A",0
"Chase---Flee, Subordinate posture",1
"Approach*---Freeze/immobility",1
"Mount---Subordinate posture",1
"Approach*---Subordinate posture",1
"Bite/Fighting---Flee",1
"Bite/Fighting, Chase---Flee, Freeze/immobility",1
"Mount---NA",1
"Sniff*---NA",0
"Bite/Fighting, Mount---Bite/Fighting, Subordinate posture",1
"Chase, Sniff*---Flee, Sniff",1
"Sniff*---Sniff, N/A",0
"Chase, Sniff*---Subordinate posture",1
"Bite/Fighting, Chase---N/A",1
"Chase, Mount, Sniff*---Flee, Sniff",1
"Mount---Flee",1
"Chase, Mount---Flee, Subordinate posture",1
"Allogroom*---Subordinate posture",1
"Bite/Fighting, Chase---Bite/Fighting, Flee",1
"Bite/Fighting, Mount---Flee",1
"Allogroom*---NA",0
"Bite/Fighting, Chase, Mount---Flee, Subordinate posture",1
"Bite/Fighting, Mount---Subordinate posture",1
"Mount, Sniff*---Subordinate posture",1
"Mount---Freeze/immobility",1
"Sniff*, Allogroom*---NA",0
"Bite/Fighting, Chase---Subordinate posture",1
"Chase, Mount---Freeze/immobility",1
"Chase, Sniff*---Flee",1
"Bite/Fighting, Sniff*---Freeze/immobility",1
"Chase, Mount, Sniff*---Flee",1
"Bite/Fighting, Approach*---Subordinate posture, Freeze/immobility",1
"Chase, Mount, Sniff*---Flee, Subordinate posture, Freeze/immobility",1
"Bite/Fighting, Subordinate posture, Sniff*---Bite/Fighting, Mount, Sniff",-1
"Chase, Mount---NA",1
"Bite/Fighting, Chase, Sniff*---Subordinate posture, Freeze/immobility",1
"Sniff*, Allogroom*---Freeze/immobility",1
"Bite/Fighting, Mount---Subordinate posture, Freeze/immobility",1
"Sniff*---Flee, Sniff",1
"Sniff*---Mount",-1
"Mount---N/A",1
"Sniff*---Flee",1
"Mount---Bite/Fighting, Mount",0.5
"Bite/Fighting---Bite/Fighting, Flee",1
"Bite/Fighting, Chase---Freeze/immobility",1
"Bite/Fighting, Sniff*---Flee, Freeze/immobility",1
"Sniff*---Subordinate posture, Freeze/immobility",1
"Sniff*---Lunge",-1
"Approach*---Preemptive flee",1
"Sniff*---Walk away",0
"Mount---Flee, Freeze/immobility",1
"Allogroom*---Freeze/immobility",1
"Bite/Fighting---Flee, Subordinate posture",1
"Chase, Sniff*---Flee, Subordinate posture",1
"Preemptive avoidance/flee*---Chase",-1
"Chase, Allogroom*---Flee, Freeze/immobility",1
"Chase---Flee, Freeze/immobility",1
"Lunge, Chase---Flee",1
"Approach*---Subordinate posture, Freeze/immobility",1
"Chase, Mount---Flee, Freeze/immobility",1
"Bite/Fighting, Chase, Sniff*, Allogroom*---Flee, Freeze/immobility",1
"Lunge, Bite/Fighting, Chase, Mount---Flee, Freeze/immobility",1
"Sniff*, Walk away---Sniff",0
"Subordinate posture, Freeze/immobility, Sniff*---Bite/Fighting, Chase",-1
"Sniff*---Lunge, Bite/Fighting",-1
"Approach*---Flee",1
"Lunge, Sniff*---Flee, Sniff",1
"Chase---Flee, Subordinate posture, Freeze/immobility",1
"Lunge, Bite/Fighting, Chase---Bite/Fighting, Flee",1
"Lunge, Bite/Fighting---Flee, Subordinate posture, Freeze/immobility",1
"Lunge, Bite/Fighting, Chase, Mount---Flee, Subordinate posture, Freeze/immobility",1
"Chase, Sniff*, Allogroom*---Freeze/immobility",1
"Lunge, Bite/Fighting, Chase---Flee",1
"Bite/Fighting, Chase, Mount---Flee, Freeze/immobility",1
"Sniff*---Freeze/immobility",1
"Bite/Fighting, Chase, Mount---Flee",1
"Bite/Fighting, Chase, Sniff*---Flee",1
"Bite/Fighting, Chase, Mount---Bite/Fighting, Flee, Subordinate posture, Freeze/immobility",1
"Sniff*, Walk away---N/A",0
"Lunge, Bite/Fighting---Bite/Fighting, Subordinate posture",1
"Bite/Fighting, Sniff*---Subordinate posture, Freeze/immobility",1
"Bite/Fighting, Chase, Allogroom*---Flee, Freeze/immobility",1
"Bite/Fighting, Chase, Mount---Subordinate posture",1
"Lunge---Flee",1
"Flee, Approach*---Chase, Sniff",-1
"Preemptive avoidance/flee*---N/A",-1
"Bite/Fighting, Chase---NA",1
"Bite/Fighting---Bite/Fighting, Flee, Freeze/immobility",1
"Lunge, Chase---Flee, Freeze/immobility",1
"Chase, Sniff*---Flee, Freeze/immobility",1
"Sniff*, Allogroom*---Walk away",0
"Mount---Subordinate posture, Freeze/immobility",1
"Bite/Fighting, Chase---Flee, Subordinate posture, Freeze/immobility",1
