Timestamp,Animal 1 - Initiator,Animal 1 - Behavior,Animal 2,Animal 2 - Behavior,Location,Observer name/Comments,Start/End,Outside of designated observation time,Error
3/7/2019 12:33,1,Lunge,1,Lunge,UL,MD,Start,,
3/7/2019 12:33,5,Sniff*,2,N/A,UR,,,,
3/7/2019 12:35,8,Sniff*,10,N/A,UR,,,,
3/7/2019 12:37,5,Sniff*,11,N/A,UL,,,,
3/7/2019 12:40,10,Sniff*,6,N/A,UL,,,,
3/7/2019 12:42,7,Sniff*,11,Subordinate posture,MR,,,,
3/7/2019 12:42,7,Sniff*,5,Walk away,MR,,,,
3/7/2019 12:43,7,Bite/Fighting,10,Subordinate posture,UL,,,,
3/7/2019 12:43,7,Sniff*,10,Subordinate posture,UL,,,,
3/7/2019 12:44,7,Bite/Fighting,8,Flee,UL,,,,
3/7/2019 12:45,11,Sniff*,8,Subordinate posture,LR,,,,
3/7/2019 12:46,8,Sniff*,9,N/A,LR,,,,
3/7/2019 12:46,7,Sniff*,10,Subordinate posture,UL,,,,
3/7/2019 12:46,7,"Bite/Fighting, Chase",2,"Flee, Subordinate posture",UR,,,,
3/7/2019 12:48,6,Mount,9,Freeze/immobility,LR,,,,
3/7/2019 12:49,9,Allogroom*,10,N/A,UL,,,,
3/7/2019 12:49,7,"Bite/Fighting, Chase",12,Flee,UR,,,,
3/7/2019 12:50,6,Sniff*,12,Subordinate posture,LR,,,,
3/7/2019 12:50,7,Bite/Fighting,9,Flee,UR,,,,
3/7/2019 12:50,7,Bite/Fighting,8,Flee,UR,,,,
3/7/2019 12:51,7,Bite/Fighting,11,Flee,UR,,,,
3/7/2019 12:52,1,Sniff*,6,Sniff,LL,,,,
3/7/2019 12:52,6,Sniff*,1,Walk away,LL,,,,
3/7/2019 12:53,7,Approach*,10,Preemptive flee,UR,,,,
3/7/2019 12:54,9,"Flee, Sniff*",6,Bite/Fighting,ML,"9 approached 6, 6 fought, 9 flee",,,
3/7/2019 12:54,7,Bite/Fighting,10,Subordinate posture,UR,,,,
3/7/2019 12:56,6,Sniff*,2,Walk away,LR,,,,
3/7/2019 12:56,6,Bite/Fighting,2,"Flee, Subordinate posture",LL,,,,
3/7/2019 12:57,8,Sniff*,1,Walk away,NB3,,,,
3/7/2019 12:57,9,Allogroom*,8,N/A,NB3,,,,
3/7/2019 12:58,8,Sniff*,9,,NB3,,,,
3/7/2019 12:58,7,Bite/Fighting,1,"Flee, Subordinate posture",UL,,,,
3/7/2019 12:59,6,Allogroom*,12,N/A,LL,,,,
3/7/2019 12:59,8,Sniff*,9,Sniff,NB3,,,,
3/7/2019 13:00,8,Sniff*,11,N/A,NB3,,,,
3/7/2019 13:01,7,Sniff*,5,Subordinate posture,UL,,,,
3/7/2019 13:01,7,Bite/Fighting,9,Flee,UL,,,,
3/7/2019 13:03,5,Sniff*,12,Walk away,NB5,,,,
3/7/2019 13:04,8,Sniff*,10,N/A,MR,,,,
3/7/2019 13:04,7,Bite/Fighting,1,Subordinate posture,UL,,,,
3/7/2019 13:05,7,Bite/Fighting,9,Flee,UR,,,,
3/7/2019 13:05,7,Bite/Fighting,10,"Flee, Subordinate posture",MR,,,,
3/7/2019 13:06,8,Sniff*,10,N/A,LL,,,,
3/7/2019 13:09,6,Sniff*,1,Subordinate posture,MR,,,,
3/7/2019 13:10,7,Chase,6,Flee,MR,,,,
3/7/2019 13:11,7,"Bite/Fighting, Chase",10,Flee,UL,,,,
3/7/2019 13:11,7,Bite/Fighting,10,Subordinate posture,UL,,,,
3/7/2019 13:12,6,Sniff*,2,Subordinate posture,MR,,,,
3/7/2019 13:13,7,"Bite/Fighting, Chase",11,"Flee, Subordinate posture",UR,,,,
3/7/2019 13:14,7,Bite/Fighting,1,"Flee, Subordinate posture",UR,,,,
3/7/2019 13:15,11,Sniff*,5,Walk away,LL,,,,
3/7/2019 13:16,6,Bite/Fighting,2,Freeze/immobility,NB3,,,,
3/7/2019 13:17,12,Sniff*,9,N/A,LR,,,,
3/7/2019 13:18,5,Sniff*,9,N/A,LR,,,,
3/7/2019 13:18,7,"Bite/Fighting, Chase",10,"Flee, Subordinate posture",UR,,,,
3/7/2019 13:20,6,Sniff*,12,N/A,MR,,,,
3/7/2019 13:20,6,Bite/Fighting,9,Subordinate posture,LR,,,,
3/7/2019 13:20,7,"Bite/Fighting, Chase",12,Flee,UL,,,,
3/7/2019 13:21,7,Bite/Fighting,11,"Flee, Subordinate posture",UR,,,,
3/7/2019 13:23,7,Bite/Fighting,10,Subordinate posture,UL,,,,
3/7/2019 13:25,6,"Bite/Fighting, Mount",1,Freeze/immobility,NB2,,,,
3/7/2019 13:25,7,Bite/Fighting,8,Flee,MR,,,,
3/7/2019 13:28,7,"Bite/Fighting, Chase",12,Flee,ML,,,,
3/7/2019 13:28,7,"Bite/Fighting, Chase",1,Flee,LR,,,,
3/7/2019 13:29,7,"Bite/Fighting, Chase",10,"Flee, Subordinate posture",LR,,,,
3/7/2019 13:31,7,Bite/Fighting,5,Flee,NB3,,,,
3/7/2019 13:31,7,Bite/Fighting,9,Flee,NB4,,,,
3/7/2019 13:32,1,Lunge,1,Lunge,UL,MD,End,,
3/7/2019 14:35,1,Lunge,1,Lunge,UL,WL,Start,,
3/7/2019 14:36,7,"Sniff*, Allogroom*",10,Subordinate posture,UL,,,,
3/7/2019 14:36,7,Lunge,10,Subordinate posture,UL,,,,
3/7/2019 14:37,7,"Bite/Fighting, Chase, Sniff*",2,Subordinate posture,LL,,,,
3/7/2019 14:38,7,Chase,6,Flee,MR,These guys squick a lot,,,
3/7/2019 14:39,12,Sniff*,10,N/A,UR,,,,
3/7/2019 14:40,7,Sniff*,5,Subordinate posture,UL,,,,
3/7/2019 14:40,7,"Bite/Fighting, Chase",12,"Flee, Subordinate posture",UR,,,,
3/7/2019 14:42,6,"Chase, Mount",2,"Freeze/immobility, Walk away",UR,,,,
3/7/2019 14:42,6,Mount,2,"Subordinate posture, Freeze/immobility",UR,,,,
3/7/2019 14:43,7,"Bite/Fighting, Chase",12,"Flee, Freeze/immobility",MR,,,,
3/7/2019 14:44,6,Bite/Fighting,9,"Subordinate posture, Freeze/immobility",LL,,,,
3/7/2019 14:45,7,"Bite/Fighting, Chase",9,Flee,LR,,,,
3/7/2019 14:45,7,"Bite/Fighting, Chase",6,Flee,LL,,,,
