batch,cohort,pairID,mouseID,GD01_BW
A,105,B,2,33
A,105,B,3,36.8
A,105,W,4,36.1
A,105,B,5,34
A,105,B,6,36.6
A,105,W,7,33.7
A,105,W,9,30.6
A,105,W,10,31.8
A,105,W,11,32.3
A,105,B,12,35.1
A,106,W,2,33
A,106,W,3,35.2
A,106,B,4,35.7
A,106,W,5,31
A,106,W,6,32.3
A,106,B,7,33.7
A,106,B,9,32.8
A,106,B,10,29.5
A,106,B,11,37
A,106,W,12,36.3
B,107,W,1,38.2
B,107,B,3,37.3
B,107,W,5,34.5
B,107,B,6,38
B,107,B,7,36.3
B,107,W,8,35.6
B,107,B,9,37.1
B,107,W,10,38.3
B,107,B,11,39.4
B,107,W,12,36.2
B,108,B,1,30
B,108,W,3,40.7
B,108,B,5,37.3
B,108,W,6,34.3
B,108,W,7,32.4
B,108,B,8,37
B,108,W,9,36.4
B,108,B,10,37
B,108,W,11,40.1
B,108,B,12,34.3
D,109,B,1,30.2
D,109,B,2,33.9
D,109,W,5,32.1
D,109,B,6,37.8
D,109,W,7,36.3
D,109,B,8,33.7
D,109,W,9,31
D,109,W,10,33.1
D,109,W,11,32.8
D,109,W,12,32.6
D,110,W,1,36.2
D,110,W,2,35.9
D,110,B,5,31.8
D,110,W,6,33
D,110,B,7,33.9
D,110,W,8,35.2
D,110,B,9,35.2
D,110,B,10,32.8
D,110,B,11,34
D,110,B,12,33.1
E,111,W,1,34.6
E,111,B,2,38.6
E,111,W,5,35.4
E,111,W,6,38.2
E,111,B,7,39
E,111,B,8,36
E,111,W,9,33.4
E,111,B,10,35.4
E,111,B,11,35.7
E,111,W,12,33.1
E,112,B,1,37.4
E,112,W,2,33.6
E,112,B,5,35.7
E,112,B,6,36.2
E,112,W,7,37.1
E,112,W,8,37.6
E,112,B,9,36.2
E,112,W,10,34.5
E,112,W,11,36.3
E,112,B,12,33.3
F,113,B,1,35.9
F,113,W,2,35.2
F,113,B,3,33.6
F,113,W,4,35.4
F,113,B,5,37.3
F,113,B,6,35.2
F,113,B,8,38
F,113,B,9,36.8
F,113,W,11,45
F,113,B,12,36.6
F,114,W,1,40.9
F,114,B,2,34.7
F,114,W,3,35.6
F,114,B,4,34.6
F,114,W,5,36.8
F,114,W,6,38.2
F,114,W,8,37.6
F,114,W,9,34.2
F,114,B,11,41.9
F,114,W,12,44.9
G,115,W,2,38.4
G,115,B,4,39.4
G,115,W,6,36.3
G,115,W,8,37.6
G,115,B,10,40.5
G,115,B,11,39.7
G,115,W,1,36.3
G,115,W,3,38.5
G,115,B,9,37.6
G,115,B,5,40.3
G,116,B,2,36
G,116,W,4,38.7
G,116,B,6,37.1
G,116,B,8,40
G,116,W,10,35.3
G,116,W,11,38.8
G,116,B,1,38.1
G,116,B,3,39.1
G,116,W,9,38.1
G,116,W,5,36.9
