Well ID,Well,Conc/Dil,450
BLK,B1,,0.774
,B2,,0.772
NSB,A1,,0.053
,A2,,0.052
SPL1,D3,,0.183
,D4,,0.181
SPL2,E3,,0.218
,E4,,0.217
SPL3,F3,,0.302
,F4,,0.308
SPL4,G3,,0.264
,G4,,0.259
SPL5,H3,,0.228
,H4,,0.222
SPL6,A5,,0.242
,A6,,0.227
SPL7,B5,,0.269
,B6,,0.266
SPL8,C5,,0.241
,C6,,0.236
SPL9,D5,,0.174
,D6,,0.179
SPL10,E5,,0.302
,E6,,0.302
SPL11,F5,,0.298
,F6,,0.272
SPL12,G5,,0.285
,G6,,0.306
SPL13,H5,,0.278
,H6,,0.313
SPL14,A7,,0.182
,A8,,0.19
SPL15,B7,,0.238
,B8,,0.254
SPL16,C7,,0.396
,C8,,0.413
SPL17,D7,,0.261
,D8,,0.253
SPL18,E7,,0.356
,E8,,0.337
SPL19,F7,,0.276
,F8,,0.238
SPL20,G7,,0.309
,G8,,0.289
SPL21,H7,,0.395
,H8,,0.346
SPL22,A9,,0.238
,A10,,0.241
SPL23,B9,,0.301
,B10,,0.296
SPL24,C9,,0.37
,C10,,0.376
SPL25,D9,,0.291
,D10,,0.318
SPL26,E9,,0.233
,E10,,0.249
SPL27,F9,,0.198
,F10,,0.205
SPL28,G9,,0.245
,G10,,0.239
SPL29,H9,,0.334
,H10,,0.328
SPL30,A11,,0.299
,A12,,0.26
SPL31,B11,,0.317
,B12,,0.284
SPL32,C11,,0.312
,C12,,0.278
SPL33,D11,,0.237
,D12,,0.236
SPL34,E11,,0.261
,E12,,0.23
SPL35,F11,,0.293
,F12,,0.27
SPL36,G11,,0.3
,G12,,0.283
STD1,C1,5000,0.147
,C2,5000,0.143
STD2,D1,2500,0.181
,D2,2500,0.179
STD3,E1,1250,0.232
,E2,1250,0.249
STD4,F1,625,0.318
,F2,625,0.328
STD5,G1,312.5,0.424
,G2,312.5,0.448
STD6,A3,156.25,0.52
,A4,156.25,0.496
STD7,H1,78.125,0.605
,H2,78.125,0.619
STD8,B3,39.063,0.696
,B4,39.063,0.65
STD9,C3,19.531,0.72
,C4,19.531,0.693
