Well ID,Well,Conc/Dil,450
BLK,B1,,0.822
,B2,,0.765
NSB,A1,,0.052
,A2,,0.056
SPL1,D3,,0.502
,D4,,0.478
SPL2,E3,,0.335
,E4,,0.324
SPL3,F3,,0.371
,F4,,0.369
SPL4,G3,,0.386
,G4,,0.365
SPL5,H3,,0.475
,H4,,0.493
SPL6,A5,,0.22
,A6,,0.219
SPL7,B5,,0.17
,B6,,0.207
SPL8,C5,,0.54
,C6,,0.498
SPL9,D5,,0.235
,D6,,0.238
SPL10,E5,,0.364
,E6,,0.328
SPL11,F5,,0.361
,F6,,0.331
SPL12,G5,,0.343
,G6,,0.309
SPL13,H5,,0.241
,H6,,0.232
SPL14,A7,,0.255
,A8,,0.253
SPL15,B7,,0.355
,B8,,0.329
SPL16,C7,,0.278
,C8,,0.271
SPL17,D7,,0.423
,D8,,0.415
SPL18,E7,,0.229
,E8,,0.226
SPL19,F7,,0.283
,F8,,0.287
SPL20,G7,,0.25
,G8,,0.229
SPL21,H7,,0.22
,H8,,0.207
SPL22,A9,,0.251
,A10,,0.244
SPL23,B9,,0.443
,B10,,0.434
SPL24,C9,,0.205
,C10,,0.206
SPL25,D9,,0.201
,D10,,0.196
SPL26,E9,,0.234
,E10,,0.23
SPL27,F9,,0.226
,F10,,0.227
SPL28,G9,,0.255
,G10,,0.245
SPL29,H9,,0.302
,H10,,0.277
SPL30,A11,,0.192
,A12,,0.188
SPL31,B11,,0.51
,B12,,0.503
SPL32,C11,,0.279
,C12,,0.279
SPL33,D11,,0.23
,D12,,0.233
SPL34,E11,,0.191
,E12,,0.197
SPL35,F11,,0.339
,F12,,0.32
SPL36,G11,,0.213
,G12,,0.237
STD1,C1,5000,0.139
,C2,5000,0.146
STD2,D1,2500,0.182
,D2,2500,0.17
STD3,E1,1250,0.251
,E2,1250,0.235
STD4,F1,625,0.336
,F2,625,0.31
STD5,G1,312.5,0.425
,G2,312.5,0.414
STD6,H1,156.25,0.517
,H2,156.25,0.53
STD7,A3,78.125,0.592
,A4,78.125,0.59
STD8,B3,39.063,0.688
,B4,39.063,0.641
STD9,C3,19.531,0.698
,C4,19.531,0.672
