Well ID,Well,Conc/Dil,450
BLK,B1,,0.733
,B2,,0.715
NSB,A1,,0.057
,A2,,0.056
SPL1,D3,,0.349
,D4,,0.365
SPL2,E3,,0.413
,E4,,0.399
SPL3,F3,,0.43
,F4,,0.434
SPL4,G3,,0.463
,G4,,0.488
SPL5,H3,,0.367
,H4,,0.577
SPL6,A5,,0.429
,A6,,0.431
SPL7,B5,,0.457
,B6,,0.455
SPL8,C5,,0.647
,C6,,0.621
SPL9,D5,,0.468
,D6,,0.476
SPL10,E5,,0.338
,E6,,0.311
SPL11,F5,,0.347
,F6,,0.344
SPL12,G5,,0.347
,G6,,0.34
SPL13,H5,,0.569
,H6,,0.565
SPL14,A7,,0.355
,A8,,0.364
SPL15,B7,,0.27
,B8,,0.306
SPL16,C7,,0.308
,C8,,0.283
SPL17,D7,,0.401
,D8,,0.503
SPL18,E7,,0.379
,E8,,0.367
SPL19,F7,,0.396
,F8,,0.393
SPL20,G7,,0.208
,G8,,0.204
SPL21,H7,,0.23
,H8,,0.206
SPL22,A9,,0.193
,A10,,0.194
SPL23,B9,,0.19
,B10,,0.182
SPL24,C9,,0.165
,C10,,0.165
SPL25,D9,,0.244
,D10,,0.249
SPL26,E9,,0.18
,E10,,0.183
SPL27,F9,,0.194
,F10,,0.201
SPL28,G9,,0.304
,G10,,0.259
SPL29,H9,,0.159
,H10,,0.155
SPL30,A11,,0.236
,A12,,0.231
SPL31,B11,,0.282
,B12,,0.263
SPL32,C11,,0.175
,C12,,0.175
SPL33,D11,,0.195
,D12,,0.185
SPL34,E11,,0.214
,E12,,0.207
SPL35,F11,,0.202
,F12,,0.216
SPL36,G11,,0.22
,G12,,0.199
STD1,C1,5000,0.153
,C2,5000,0.154
STD2,D1,2500,0.182
,D2,2500,0.191
STD3,E1,1250,0.237
,E2,1250,0.258
STD4,F1,625,0.333
,F2,625,0.33
STD5,G1,312.5,0.425
,G2,312.5,0.412
STD6,H1,156.25,0.543
,H2,156.25,0.515
STD7,A3,78.125,0.589
,A4,78.125,0.595
STD8,B3,39.063,0.649
,B4,39.063,0.672
STD9,C3,19.531,0.682
,C4,19.531,0.652
