"","batch","timepoint","subjectID","creatinine_mg_ml"
"1","C","Endpoint","B.1",431.866720927891
"2","C","Endpoint","B.10",567.075663451722
"3","C","Endpoint","B.12",68.4926878950949
"4","C","Endpoint","B.2",491.020633282067
"5","C","Endpoint","B.3",499.471192189807
"6","C","Endpoint","B.4",406.515044204673
"7","C","Endpoint","B.6",372.712808573715
"8","C","Endpoint","B.8",609.328457990419
"9","C","Endpoint","B.9",643.130693621377
"10","C","Endpoint","W.1",431.866720927891
"11","C","Endpoint","W.10",68.4926878950949
"12","C","Endpoint","W.12",229.053307142144
"13","C","Endpoint","W.2",144.54771806475
"14","C","Endpoint","W.3",60.0421289873554
"15","C","Endpoint","W.4",76.9432468028344
"16","C","Endpoint","W.6",119.196041341531
"17","C","Endpoint","W.8",355.811690758236
"18","C","Endpoint","W.9",34.6904522641371
