batch,timepoint,subjectID,protein_mg_ml
A,GD14,A.10,6.19998676
A,GD14,A.11,12.94218604
A,GD14,A.12,12.08103286
A,GD14,A.2,11.72396935
A,GD14,A.3,13.55129439
A,GD14,A.4,12.58512253
A,GD14,A.5,9.350547173
A,GD14,A.7,11.63995441
A,GD14,A.9,14.95854471
A,GD14,B.10,2.965411403
A,GD14,B.11,9.623595742
A,GD14,B.12,12.16504781
A,GD14,B.2,1.327119989
A,GD14,B.3,11.72396935
A,GD14,B.4,5.485859733
A,GD14,B.5,1.915224599
A,GD14,B.6,3.742549638
A,GD14,B.7,8.699431354
A,GD14,B.9,4.015598208
A,PD09,B.10,13.19423088
A,PD09,B.11,13.67731681
A,PD09,B.12,11.84999177
A,PD09,B.2,10.2957153
A,PD09,B.3,14.30742889
A,PD09,B.4,10.67378255
A,PD09,B.5,13.50928692
A,PD09,B.6,12.3330777
A,PD09,B.7,14.83252229
A,PD09,B.9,14.41244757
A,PD09,W.10,1.222101308
A,PD09,W.11,11.36690584
A,PD09,W.12,14.32843262
A,PD09,W.2,4.309650513
A,PD09,W.3,11.8709955
A,PD09,W.4,5.71690083
A,PD09,W.5,5.821919511
A,PD09,W.6,6.788091371
A,PD09,W.7,6.809095107
A,PD09,W.9,4.078609416
B,GD14,C.1,8.910656808
B,GD14,C.10,13.04904179
B,GD14,C.11,14.31814651
B,GD14,C.12,14.58024423
B,GD14,C.3,12.58002482
B,GD14,C.5,13.44908567
B,GD14,C.6,13.38011258
B,GD14,C.7,13.38011258
B,GD14,C.8,14.41470883
B,GD14,C.9,14.31814651
B,GD14,D.1,18.95313769
B,GD14,D.10,16.4701067
B,GD14,D.11,13.6422103
B,GD14,D.12,15.73899202
B,GD14,D.3,15.29756429
B,GD14,D.5,20.71884861
B,GD14,D.6,15.49068892
B,GD14,D.7,17.91854144
B,GD14,D.8,16.49769593
B,GD14,D.9,17.62885449
B,PD09,B.1,5.944814241
B,PD09,B.10,6.67592892
B,PD09,B.11,14.99408272
B,PD09,B.12,10.86949236
B,PD09,B.3,10.01422613
B,PD09,B.5,8.45543446
B,PD09,B.6,7.586373615
B,PD09,B.7,5.393029577
B,PD09,B.8,7.393248983
B,PD09,B.9,9.945253052
B,PD09,W.1,8.634764476
B,PD09,W.10,11.76614244
B,PD09,W.11,12.78694407
B,PD09,W.12,11.42127703
B,PD09,W.3,8.896862191
B,PD09,W.5,10.51083233
B,PD09,W.6,10.12458307
B,PD09,W.7,12.38690019
B,PD09,W.8,10.85569775
B,PD09,W.9,10.45565387
D,GD14,E.10,11.12227958
D,GD14,E.11,12.53532168
D,GD14,E.12,10.38007565
D,GD14,E.2,12.44968276
D,GD14,E.5,10.9367286
D,GD14,E.6,3.414777248
D,GD14,E.7,11.62183992
D,GD14,E.8,7.753815599
D,GD14,E.9,10.12315891
D,GD14,F.1,12.12140026
D,GD14,F.10,10.76545077
D,GD14,F.11,10.89390914
D,GD14,F.12,13.02060886
D,GD14,F.2,11.45056209
D,GD14,F.5,7.339894177
D,GD14,F.6,14.04827584
D,GD14,F.7,11.8073909
D,GD14,F.8,13.67717387
D,GD14,F.9,3.400504095
D,PD09,B.1,14.60492878
D,PD09,B.10,10.90818229
D,PD09,B.11,11.42201578
D,PD09,B.12,12.13567341
D,PD09,B.2,14.14818791
D,PD09,B.5,8.653024205
D,PD09,B.6,10.67981186
D,PD09,B.7,13.80563225
D,PD09,W.1,13.94836377
D,PD09,W.10,12.74941896
D,PD09,W.11,11.8073909
D,PD09,W.12,13.37743767
D,PD09,W.2,12.05003449
D,PD09,W.5,12.9777894
D,PD09,W.6,12.89215049
D,PD09,W.7,13.12052093
D,PD09,W.9,12.80651157
E,GD14,G.1,16.16642934
E,GD14,G.10,11.79425841
E,GD14,G.11,14.00213211
E,GD14,G.12,14.2926418
E,GD14,G.2,10.57411769
E,GD14,G.5,12.6657875
E,GD14,G.6,11.95403875
E,GD14,G.7,14.3943202
E,GD14,G.8,12.27359941
E,GD14,G.9,12.70936396
E,GD14,H.1,10.51601575
E,GD14,H.10,11.64900356
E,GD14,H.11,14.11833598
E,GD14,H.12,11.54732517
E,GD14,H.5,10.22550605
E,GD14,H.6,14.26359083
E,GD14,H.8,11.44564678
E,GD14,H.9,9.266824053
E,PD09,B.1,14.46694762
E,PD09,B.10,12.68031299
E,PD09,B.11,15.67256286
E,PD09,B.12,13.75519886
E,PD09,B.2,14.45242213
E,PD09,B.5,11.67805453
E,PD09,B.6,11.38754484
E,PD09,B.7,12.60768556
E,PD09,B.8,8.424345933
E,PD09,B.9,14.27811632
E,PD09,W.1,7.87237751
E,PD09,W.10,7.073475844
E,PD09,W.11,13.31943432
E,PD09,W.2,8.831059508
E,PD09,W.5,4.749398273
E,PD09,W.6,3.630935941
E,PD09,W.9,6.695813239
F,GD14,I.1,13.83538612
F,GD14,I.11,12.54788544
F,GD14,I.12,12.78323503
F,GD14,I.2,14.87369312
F,GD14,I.3,11.10809974
F,GD14,I.4,14.72140809
